wlan.sa,frame.time_relative,wlan.seq,wlan.ssid,frame.len
84:2e:27:6b:53:df,434.781394984,227,5G_U+zone,167
84:2e:27:6b:53:df,434.867643301,235,U+zone,164
84:2e:27:6b:53:df,434.869038259,236,U+zone_5G,167
84:2e:27:6b:53:df,434.870473089,237,5G_U+zone,167
84:2e:27:6b:53:df,434.871797960,238,,158
84:2e:27:6b:53:df,434.888055273,239,U+zone,164
84:2e:27:6b:53:df,434.889340272,240,U+zone_5G,167
84:2e:27:6b:53:df,434.890756624,241,5G_U+zone,167
84:2e:27:6b:53:df,434.892108032,242,,158
22:26:6e:96:fe:16,443.660966116,451,,94
22:26:6e:96:fe:16,443.685403904,452,,94
22:26:6e:96:fe:16,443.733690746,454,,94
22:26:6e:96:fe:16,443.830761556,458,,94
22:26:6e:96:fe:16,443.855446450,459,,94
22:26:6e:96:fe:16,443.903582367,461,,94
f8:e6:1a:f1:d6:49,445.928687315,722,T wifi zone_secure,174
f8:e6:1a:f1:d6:49,445.929938746,723,,156
84:2e:27:6b:53:df,458.762840876,448,U+zone,164
84:2e:27:6b:53:df,458.765664410,450,5G_U+zone,167
84:2e:27:6b:53:df,458.782872830,452,U+zone,164
84:2e:27:6b:53:df,458.802895543,456,U+zone,164
84:2e:27:6b:53:df,458.807016208,459,,158
84:2e:27:6b:53:df,458.822645470,460,U+zone,164
84:2e:27:6b:53:df,458.824039341,461,U+zone_5G,167
84:2e:27:6b:53:df,458.846547390,467,,158
3c:a0:67:85:86:1b,474.014405977,653,,66
3c:a0:67:85:86:1b,474.325892668,661,,66
84:2e:27:6b:53:df,491.102738762,583,,158
84:2e:27:6b:53:df,491.116134358,584,U+zone,164
84:2e:27:6b:53:df,491.121210962,586,5G_U+zone,167
84:2e:27:6b:53:df,491.122505278,587,,158
84:2e:27:6b:53:df,491.444698000,632,U+zone,164
84:2e:27:6b:53:df,491.446076911,633,U+zone_5G,167
84:2e:27:6b:53:df,491.447490613,634,5G_U+zone,167
84:2e:27:6b:53:df,491.448800625,635,,158
84:2e:27:6b:53:df,491.465044611,636,U+zone,164
84:2e:27:6b:53:df,491.466528760,637,U+zone_5G,167
84:2e:27:6b:53:df,491.467925142,638,5G_U+zone,167
84:2e:27:6b:53:df,491.469241969,639,,158
22:26:6e:96:fe:16,506.625549958,463,,94
22:26:6e:96:fe:16,506.673815521,465,,94
22:26:6e:96:fe:16,506.771047721,469,,94
22:26:6e:96:fe:16,506.819342226,471,,94
3c:a0:67:85:86:1b,534.212354918,683,,66
22:26:6e:96:fe:16,569.648135008,476,,94
22:26:6e:96:fe:16,569.745284642,480,,94
22:26:6e:96:fe:16,569.793624056,482,,94
22:26:6e:96:fe:16,632.653557313,485,,94
22:26:6e:96:fe:16,632.701882263,487,,94
22:26:6e:96:fe:16,632.750848003,489,,94
22:26:6e:96:fe:16,632.798894891,491,,94
22:26:6e:96:fe:16,632.847279293,493,,94
3c:a0:67:85:86:1b,653.675024196,718,,66
3c:a0:67:85:86:1b,654.244471000,732,,66
3c:a0:67:85:86:1b,654.590299659,738,,66
22:26:6e:96:fe:16,695.621377788,495,,94
22:26:6e:96:fe:16,695.645788028,496,,94
22:26:6e:96:fe:16,695.743075206,500,,94
22:26:6e:96:fe:16,695.766770850,501,,94
22:26:6e:96:fe:16,695.791222470,502,,94
84:2e:27:6b:53:df,715.993046836,1087,U+zone,164
84:2e:27:6b:53:df,715.994465925,1088,U+zone_5G,167
84:2e:27:6b:53:df,715.995884417,1089,5G_U+zone,167
84:2e:27:6b:53:df,715.997212130,1090,,158
84:2e:27:6b:53:df,716.013559937,1091,U+zone,164
84:2e:27:6b:53:df,716.014964487,1092,U+zone_5G,167
84:2e:27:6b:53:df,716.016407085,1093,5G_U+zone,167
84:2e:27:6b:53:df,716.017759545,1094,,158
84:2e:27:6b:53:df,716.301803835,1132,U+zone_5G,167
84:2e:27:6b:53:df,716.321847376,1136,U+zone_5G,167
84:2e:27:6b:53:df,716.341936627,1139,U+zone,164
84:2e:27:6b:53:df,716.343363459,1140,U+zone_5G,167
84:2e:27:6b:53:df,716.344784487,1141,5G_U+zone,167
84:2e:27:6b:53:df,716.346053179,1142,,158
84:2e:27:6b:53:df,716.362314280,1143,U+zone,164
84:2e:27:6b:53:df,716.363761018,1144,U+zone_5G,167
84:2e:27:6b:53:df,716.365159103,1145,5G_U+zone,167
84:2e:27:6b:53:df,716.366487202,1146,,158
f8:e6:1a:f1:d6:49,743.850603238,748,T wifi zone_secure,174
f8:e6:1a:f1:d6:49,743.851843589,749,,156
f8:e6:1a:f1:d6:49,743.890754543,750,T wifi zone_secure,174
f8:e6:1a:f1:d6:49,743.892052552,751,,156
2a:c4:fc:a8:b4:2b,758.701560628,507,,94
2a:c4:fc:a8:b4:2b,758.749822508,509,,94
2a:c4:fc:a8:b4:2b,758.846982606,513,,94
2a:c4:fc:a8:b4:2b,758.897222130,515,,94
3c:a0:67:85:86:1b,773.590656442,763,,66
3c:a0:67:85:86:1b,773.999777002,773,,66
2a:c4:fc:a8:b4:2b,821.725622224,522,,94
3c:a0:67:85:86:1b,834.215162364,802,,66
3c:a0:67:85:86:1b,834.460629943,808,,66
2a:c4:fc:a8:b4:2b,884.686188529,532,,94
2a:c4:fc:a8:b4:2b,884.710862874,533,,94
2a:c4:fc:a8:b4:2b,884.734563901,534,,94
2a:c4:fc:a8:b4:2b,884.758984309,535,,94
2a:c4:fc:a8:b4:2b,884.783562572,536,,94
2a:c4:fc:a8:b4:2b,884.807267583,537,,94
3c:a0:67:85:86:1b,894.217919584,826,,66
00:f4:6f:9e:c6:eb,903.414150459,3,,149
00:f4:6f:9e:c6:eb,903.434549356,4,,149
00:f4:6f:9e:c6:eb,903.672732244,15,,149
00:f4:6f:9e:c6:eb,903.693204866,16,,149
00:f4:6f:9e:c6:eb,907.651067444,60,,149
00:f4:6f:9e:c6:eb,907.671417804,61,,149
00:f4:6f:9e:c6:eb,908.075289731,78,,149
00:f4:6f:9e:c6:eb,908.076664753,79,,149
94:d7:71:fc:67:c9,909.335844574,3378,,166
94:d7:71:fc:67:c9,911.757090984,3400,carlynne,174
94:d7:71:fc:67:c9,914.721005020,3433,,166
94:d7:71:fc:67:c9,914.748243329,3434,,166
94:d7:71:fc:67:c9,914.776299844,3435,,166
94:d7:71:fc:67:c9,914.803675164,3436,,166
ac:36:13:5b:00:45,917.397935910,1,,159
ac:36:13:5b:00:45,917.417960316,2,,159
ac:36:13:5b:00:45,917.654519462,13,,159
ac:36:13:5b:00:45,917.674804812,14,,159
ac:36:13:5b:00:45,917.912723684,25,,159
ac:36:13:5b:00:45,917.933546540,26,,159
18:83:31:9b:75:ad,918.191649323,82,,157
18:83:31:9b:75:ad,918.211829875,83,,157
84:2e:27:6b:53:df,924.913529576,1,U+zone,164
84:2e:27:6b:53:df,924.914934878,2,U+zone_5G,167
84:2e:27:6b:53:df,924.916704537,3,5G_U+zone,167
84:2e:27:6b:53:df,924.933815602,5,U+zone,164
84:2e:27:6b:53:df,924.935119104,6,U+zone_5G,167
84:2e:27:6b:53:df,924.937343779,7,5G_U+zone,167
84:2e:27:6b:53:df,924.939186020,8,,158
84:2e:27:6b:53:df,925.168815179,49,U+zone,164
84:2e:27:6b:53:df,925.170204509,50,U+zone_5G,167
84:2e:27:6b:53:df,925.172024038,51,5G_U+zone,167
84:2e:27:6b:53:df,925.173524816,52,,158
84:2e:27:6b:53:df,925.189064911,53,U+zone,164
84:2e:27:6b:53:df,925.190436295,54,U+zone_5G,167
84:2e:27:6b:53:df,925.192080649,55,5G_U+zone,167
84:2e:27:6b:53:df,925.193523713,56,,158
84:2e:27:6b:53:df,925.210932176,57,U+zone,164
84:2e:27:6b:53:df,925.212320063,58,U+zone_5G,167
84:2e:27:6b:53:df,925.213969123,59,5G_U+zone,167
84:2e:27:6b:53:df,925.215876394,60,,158
84:2e:27:6b:53:df,925.231728376,61,U+zone,164
84:2e:27:6b:53:df,925.233089079,62,U+zone_5G,167
84:2e:27:6b:53:df,925.234980780,63,5G_U+zone,167
84:2e:27:6b:53:df,925.236353557,64,,158
84:2e:27:6b:53:df,925.424254683,97,U+zone,164
84:2e:27:6b:53:df,925.425537412,98,U+zone_5G,167
84:2e:27:6b:53:df,925.427429604,99,5G_U+zone,167
84:2e:27:6b:53:df,925.428844809,100,,158
84:2e:27:6b:53:df,925.444024041,101,U+zone,164
84:2e:27:6b:53:df,925.445415105,102,U+zone_5G,167
84:2e:27:6b:53:df,925.447390684,103,5G_U+zone,167
84:2e:27:6b:53:df,925.448765180,104,,158
84:2e:27:6b:53:df,932.983687915,146,U+zone,164
84:2e:27:6b:53:df,932.984994871,147,U+zone_5G,167
84:2e:27:6b:53:df,932.986407139,148,5G_U+zone,167
84:2e:27:6b:53:df,932.987732669,149,,158
84:2e:27:6b:53:df,933.004091729,150,U+zone,164
84:2e:27:6b:53:df,933.005496314,151,U+zone_5G,167
84:2e:27:6b:53:df,933.006941478,152,5G_U+zone,167
84:2e:27:6b:53:df,933.008314796,153,,158
84:2e:27:6b:53:df,933.379068615,200,U+zone,164
84:2e:27:6b:53:df,933.380463989,201,U+zone_5G,167
84:2e:27:6b:53:df,933.381910937,202,5G_U+zone,167
84:2e:27:6b:53:df,933.383259117,203,,158
84:2e:27:6b:53:df,933.399643939,204,U+zone,164
84:2e:27:6b:53:df,933.401065849,205,U+zone_5G,167
84:2e:27:6b:53:df,933.402487524,206,5G_U+zone,167
84:2e:27:6b:53:df,933.403838876,207,,158
84:2e:27:6b:53:df,933.560014175,226,U+zone_5G,167
94:d7:71:fc:67:c9,936.930498208,3569,,166
94:d7:71:fc:67:c9,936.958848321,3570,,166
94:d7:71:fc:67:c9,936.986373072,3571,,166
84:2e:27:6b:53:df,940.988927175,367,U+zone,164
94:d7:71:fc:67:c9,942.807577935,3659,,166
94:d7:71:fc:67:c9,942.834762550,3660,,166
2a:c4:fc:a8:b4:2b,947.774673821,545,,94
2a:c4:fc:a8:b4:2b,947.847369826,548,,94
94:d7:71:fc:67:c9,948.493341120,3743,,166
94:d7:71:fc:67:c9,949.069961955,3765,,166
94:d7:71:fc:67:c9,949.097337166,3766,,166
3c:a0:67:85:86:1b,949.868408990,848,,66
3c:a0:67:85:86:1b,949.918594033,849,,66
84:2e:27:6b:53:df,990.614254123,594,U+zone,164
84:2e:27:6b:53:df,990.615670260,595,U+zone_5G,167
84:2e:27:6b:53:df,990.617099472,596,5G_U+zone,167
84:2e:27:6b:53:df,990.618443112,597,,158
84:2e:27:6b:53:df,990.634569833,598,U+zone,164
84:2e:27:6b:53:df,990.635999817,599,U+zone_5G,167
