wlan.sa,frame.time_relative,wlan.seq,wlan.ssid,frame.len
f8:e6:1a:f1:d6:49,4774.471886388,4093,,157
f8:e6:1a:f1:d6:49,5027.950326070,371,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,5027.951716021,372,,157
f8:e6:1a:f1:d6:49,5028.355358693,401,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,5028.356660811,402,,157
f8:e6:1a:f1:d6:49,5028.376039701,403,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,5028.377325331,404,,157
f8:e6:1a:f1:d6:49,5082.246210744,571,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,5082.247571673,572,,157
f8:e6:1a:f1:d6:49,5082.919636996,619,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,5083.061442595,629,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,5083.062735411,630,,157
f8:e6:1a:f1:d6:49,5083.081118561,631,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,5083.082405429,632,,157
f8:e6:1a:f1:d6:49,5083.428214082,657,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,5083.429502358,658,,157
f8:e6:1a:f1:d6:49,5382.208999557,1113,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,5382.210291065,1114,,157
f8:e6:1a:f1:d6:49,5382.229670446,1115,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,5382.230969191,1116,,157
