mac :2c:33:7a:2b:79:3a,delta seq no : [12.476352],cost : 334.05054
mac :2c:33:7a:2b:79:3a,delta seq no : [12.417928],cost : 401.57968
mac :2c:33:7a:2b:79:3a,delta seq no : [12.501045],cost : 327.1283
mac :2c:33:7a:2b:79:3a,delta seq no : [12.458436],cost : 382.53302
mac :2c:33:7a:2b:79:3a,delta seq no : [12.427485],cost : 420.51694
mac :2c:33:7a:2b:79:3a,delta seq no : [12.475939],cost : 363.5404
mac :2c:33:7a:2b:79:3a,delta seq no : [12.44659],cost : 365.83484
mac :2c:33:7a:2b:79:3a,delta seq no : [12.330546],cost : 472.96915
mac :2c:33:7a:2b:79:3a,delta seq no : [12.530388],cost : 515.3332
mac :2c:33:7a:2b:79:3a,delta seq no : [12.403963],cost : 582.3731
mac :2c:33:7a:2b:79:3a,delta seq no : [12.400264],cost : 334.50558
mac :2c:33:7a:2b:79:3a,delta seq no : [12.49216],cost : 328.35684
mac :2c:33:7a:2b:79:3a,delta seq no : [12.490838],cost : 404.53394
mac :2c:33:7a:2b:79:3a,delta seq no : [12.493928],cost : 414.27368
mac :2c:33:7a:2b:79:3a,delta seq no : [12.456137],cost : 450.08234
mac :2c:33:7a:2b:79:3a,delta seq no : [12.51791],cost : 381.12045
mac :2c:33:7a:2b:79:3a,delta seq no : [12.46039],cost : 367.03183
mac :2c:33:7a:2b:79:3a,delta seq no : [12.365536],cost : 677.101
mac :2c:33:7a:2b:79:3a,delta seq no : [12.467191],cost : 396.99155
mac :2c:33:7a:2b:79:3a,delta seq no : [12.39892],cost : 434.2957
mac :2c:33:7a:2b:79:3a,delta seq no : [12.512947],cost : 501.37228
mac :2c:33:7a:2b:79:3a,delta seq no : [12.45286],cost : 467.14365
mac :2c:33:7a:2b:79:3a,delta seq no : [12.418515],cost : 394.07532
mac :2c:33:7a:2b:79:3a,delta seq no : [12.534548],cost : 560.5184
mac :2c:33:7a:2b:79:3a,delta seq no : [12.518766],cost : 395.88507
mac :2c:33:7a:2b:79:3a,delta seq no : [12.472097],cost : 327.61786
mac :2c:33:7a:2b:79:3a,delta seq no : [12.409639],cost : 424.27798
mac :2c:33:7a:2b:79:3a,delta seq no : [12.522766],cost : 424.49985
mac :2c:33:7a:2b:79:3a,delta seq no : [12.474858],cost : 328.95596
mac :2c:33:7a:2b:79:3a,delta seq no : [12.484611],cost : 371.89746
mac :2c:33:7a:2b:79:3a,delta seq no : [12.488993],cost : 326.06207
mac :2c:33:7a:2b:79:3a,delta seq no : [12.463958],cost : 322.17416
mac :2c:33:7a:2b:79:3a,delta seq no : [12.430201],cost : 453.2914
mac :2c:33:7a:2b:79:3a,delta seq no : [12.472706],cost : 651.47736
mac :2c:33:7a:2b:79:3a,delta seq no : [12.4258],cost : 482.9287
mac :2c:33:7a:2b:79:3a,delta seq no : [12.429515],cost : 453.11594
mac :2c:33:7a:2b:79:3a,delta seq no : [12.441389],cost : 459.98303
mac :2c:33:7a:2b:79:3a,delta seq no : [12.513311],cost : 450.32913
mac :2c:33:7a:2b:79:3a,delta seq no : [12.417686],cost : 470.9212
mac :2c:33:7a:2b:79:3a,delta seq no : [12.467156],cost : 387.81445
mac :2c:33:7a:2b:79:3a,delta seq no : [12.44997],cost : 354.6108
mac :2c:33:7a:2b:79:3a,delta seq no : [12.482303],cost : 309.2522
mac :2c:33:7a:2b:79:3a,delta seq no : [12.555604],cost : 901.8125
mac :2c:33:7a:2b:79:3a,delta seq no : [12.431313],cost : 562.5537
mac :2c:33:7a:2b:79:3a,delta seq no : [12.538528],cost : 634.1211
mac :2c:33:7a:2b:79:3a,delta seq no : [12.467494],cost : 340.15204
mac :2c:33:7a:2b:79:3a,delta seq no : [12.481344],cost : 398.50482
mac :2c:33:7a:2b:79:3a,delta seq no : [12.315349],cost : 682.0049
mac :2c:33:7a:2b:79:3a,delta seq no : [12.406633],cost : 454.07074
mac :2c:33:7a:2b:79:3a,delta seq no : [12.438117],cost : 418.5972
mac :2c:33:7a:2b:79:3a,delta seq no : [12.4923725],cost : 385.2539
mac :2c:33:7a:2b:79:3a,delta seq no : [12.505767],cost : 447.0355
mac :2c:33:7a:2b:79:3a,delta seq no : [12.491015],cost : 328.9348
mac :2c:33:7a:2b:79:3a,delta seq no : [12.472661],cost : 344.81964
mac :2c:33:7a:2b:79:3a,delta seq no : [12.428524],cost : 364.74783
mac :2c:33:7a:2b:79:3a,delta seq no : [12.519556],cost : 426.99655
mac :2c:33:7a:2b:79:3a,delta seq no : [12.485946],cost : 315.92453
mac :2c:33:7a:2b:79:3a,delta seq no : [12.55981],cost : 576.28595
mac :2c:33:7a:2b:79:3a,delta seq no : [12.483113],cost : 329.13565
mac :2c:33:7a:2b:79:3a,delta seq no : [12.41964],cost : 368.31332
mac :2c:33:7a:2b:79:3a,delta seq no : [12.448415],cost : 359.721
mac :2c:33:7a:2b:79:3a,delta seq no : [12.525215],cost : 366.8109
mac :2c:33:7a:2b:79:3a,delta seq no : [12.4887495],cost : 352.7556
mac :2c:33:7a:2b:79:3a,delta seq no : [12.415645],cost : 454.32843
mac :2c:33:7a:2b:79:3a,delta seq no : [12.518277],cost : 394.259
mac :2c:33:7a:2b:79:3a,delta seq no : [12.484706],cost : 327.63123
mac :2c:33:7a:2b:79:3a,delta seq no : [12.3809395],cost : 392.57794
mac :2c:33:7a:2b:79:3a,delta seq no : [12.556388],cost : 621.1651
mac :2c:33:7a:2b:79:3a,delta seq no : [12.453984],cost : 361.5176
mac :2c:33:7a:2b:79:3a,delta seq no : [12.451237],cost : 284.10126
mac :2c:33:7a:2b:79:3a,delta seq no : [12.533314],cost : 493.37842
mac :2c:33:7a:2b:79:3a,delta seq no : [12.1588955],cost : 614.39215
mac :2c:33:7a:2b:79:3a,delta seq no : [12.35458],cost : 758.99194
mac :2c:33:7a:2b:79:3a,delta seq no : [12.330988],cost : 654.5714
mac :2c:33:7a:2b:79:3a,delta seq no : [12.477779],cost : 291.7991
mac :2c:33:7a:2b:79:3a,delta seq no : [12.389508],cost : 555.11835
mac :2c:33:7a:2b:79:3a,delta seq no : [12.467988],cost : 558.5142
mac :2c:33:7a:2b:79:3a,delta seq no : [12.359782],cost : 415.0036
mac :2c:33:7a:2b:79:3a,delta seq no : [12.2934885],cost : 664.3937
mac :34:08:04:9b:31:79,delta seq no : [0.88575745],cost : 1115.3186
mac :34:08:04:9b:31:79,delta seq no : [0.762073],cost : 138.71832
mac :34:08:04:9b:31:79,delta seq no : [0.7846941],cost : 185.16864
mac :34:08:04:9b:31:79,delta seq no : [0.7656042],cost : 187.44096
mac :34:08:04:9b:31:79,delta seq no : [1.0192965],cost : 199.69635
mac :34:08:04:9b:31:79,delta seq no : [1.0085356],cost : 263.56354
mac :34:08:04:9b:31:79,delta seq no : [1.0961478],cost : 320.4919
mac :34:08:04:9b:31:79,delta seq no : [1.1331921],cost : 68.459465
mac :34:08:04:9b:31:79,delta seq no : [1.097178],cost : 280.3004
mac :34:08:04:9b:31:79,delta seq no : [0.9331628],cost : 167.35803
mac :34:08:04:9b:31:79,delta seq no : [1.0692043],cost : 261.70532
mac :34:08:04:9b:31:79,delta seq no : [1.3382236],cost : 925.8984
mac :34:08:04:9b:31:79,delta seq no : [1.1272233],cost : 272.15903
mac :34:08:04:9b:31:79,delta seq no : [0.9798753],cost : 175.62227
mac :34:08:04:9b:31:79,delta seq no : [1.0019121],cost : 132.0954
mac :34:08:04:9b:31:79,delta seq no : [1.0008101],cost : 211.04852
mac :34:08:04:9b:31:79,delta seq no : [0.92010206],cost : 169.90277
mac :34:08:04:9b:31:79,delta seq no : [0.9134181],cost : 160.3902
mac :34:08:04:9b:31:79,delta seq no : [1.0155581],cost : 123.50692
mac :34:08:04:9b:31:79,delta seq no : [1.1323109],cost : 190.1027
mac :34:08:04:9b:31:79,delta seq no : [1.1413199],cost : 191.90247
mac :34:08:04:9b:31:79,delta seq no : [1.1035633],cost : 332.28162
mac :34:08:04:9b:31:79,delta seq no : [1.0648935],cost : 118.399216
mac :34:08:04:9b:31:79,delta seq no : [1.087562],cost : 137.12885
mac :34:08:04:9b:31:79,delta seq no : [1.1085935],cost : 178.9576
mac :34:08:04:9b:31:79,delta seq no : [1.1161306],cost : 218.8719
mac :34:08:04:9b:31:79,delta seq no : [1.0186874],cost : 127.40752
mac :34:08:04:9b:31:79,delta seq no : [1.0134549],cost : 121.15644
mac :34:08:04:9b:31:79,delta seq no : [0.9659803],cost : 202.19873
mac :34:08:04:9b:31:79,delta seq no : [1.0669565],cost : 158.04143
mac :34:08:04:9b:31:79,delta seq no : [1.1192622],cost : 135.5199
mac :34:08:04:9b:31:79,delta seq no : [0.9883516],cost : 135.15192
mac :34:08:04:9b:31:79,delta seq no : [1.013926],cost : 88.25014
mac :34:08:04:9b:31:79,delta seq no : [1.1754584],cost : 501.23376
mac :34:08:04:9b:31:79,delta seq no : [1.0330995],cost : 162.05362
mac :34:08:04:9b:31:79,delta seq no : [1.0444344],cost : 359.2299
mac :34:08:04:9b:31:79,delta seq no : [1.0348107],cost : 225.05234
mac :34:08:04:9b:31:79,delta seq no : [1.0089864],cost : 244.23618
mac :34:08:04:9b:31:79,delta seq no : [1.0341753],cost : 134.32347
mac :34:08:04:9b:31:79,delta seq no : [0.9566464],cost : 83.93333
mac :34:08:04:9b:31:79,delta seq no : [1.0787808],cost : 120.414536
mac :34:08:04:9b:31:79,delta seq no : [0.9894856],cost : 122.28754
mac :34:08:04:9b:31:79,delta seq no : [1.0749209],cost : 148.2558
