,wlan.sa,wlan.ssid,ts_relative,frame.time_relative,wlan.ds.current_channel,wlan_radio.signal_dbm,wlan_radio.duration
8151,88:36:6c:67:72:ec,carlynne,2392.1664,2392.196277019,1,-47,2256
8152,88:36:6c:67:72:ec,carlynne,2392.2688,2392.298685616,1,-45,2256
8153,88:36:6c:67:72:ec,carlynne,2392.3712,2392.4009730979997,1,-47,2256
8154,88:36:6c:67:72:ec,carlynne,2392.9856,2393.015473378,1,-69,2256
8155,88:36:6c:67:72:ec,carlynne,2393.088,2393.117879509,1,-69,2256
8156,88:36:6c:67:72:ec,carlynne,2393.1904,2393.220154332,1,-23,2256
8157,88:36:6c:67:72:ec,carlynne,2393.2928,2393.32268241,1,-21,2256
8158,88:36:6c:67:72:ec,carlynne,2393.3952,2393.425076854,1,-23,2256
8159,88:36:6c:67:72:ec,carlynne,2394.3168,2394.34670985,1,-67,2256
8160,88:36:6c:67:72:ec,carlynne,2394.4192,2394.448997804,1,-63,2256
8161,88:36:6c:67:72:ec,carlynne,2394.624,2394.653840817,1,-25,2256
8162,88:36:6c:67:72:ec,carlynne,2394.7264,2394.756202285,1,-25,2256
8163,88:36:6c:67:72:ec,carlynne,2395.2384,2395.268312095,1,-65,2256
8164,88:36:6c:67:72:ec,carlynne,2395.8528,2395.8825968670003,1,-45,2256
8165,88:36:6c:67:72:ec,carlynne,2396.0576,2396.087527929,1,-47,2256
8166,88:36:6c:67:72:ec,carlynne,2396.672,2396.7019349479997,1,-71,2256
8167,88:36:6c:67:72:ec,carlynne,2396.7744,2396.80425459,1,-67,2256
8168,88:36:6c:67:72:ec,carlynne,2396.8768,2396.906650943,1,-69,2256
8169,88:36:6c:67:72:ec,carlynne,2396.9792,2397.009133296,1,-23,2256
8170,88:36:6c:67:72:ec,carlynne,2397.0816,2397.111529579,1,-21,2256
8171,88:36:6c:67:72:ec,carlynne,2397.3888,2397.418622373,1,-61,2256
8172,88:36:6c:67:72:ec,carlynne,2397.7984,2397.8283307270003,1,-23,2256
8173,88:36:6c:67:72:ec,carlynne,2398.0032,2398.033155599,1,-65,2256
8174,88:36:6c:67:72:ec,carlynne,2398.1056,2398.13555947,1,-65,2256
8175,88:36:6c:67:72:ec,carlynne,2398.4128,2398.442753182,1,-25,2256
8176,88:36:6c:67:72:ec,carlynne,2398.6176,2398.647451903,1,-67,2256
8177,88:36:6c:67:72:ec,carlynne,2398.9248,2398.954753935,1,-67,2256
8178,88:36:6c:67:72:ec,carlynne,2399.0272,2399.057047792,1,-65,2256
8179,88:36:6c:67:72:ec,carlynne,2399.4368,2399.466758286,1,-67,2256
8180,88:36:6c:67:72:ec,carlynne,2399.6416,2399.671559117,1,-47,2256
8181,88:36:6c:67:72:ec,carlynne,2399.744,2399.773881815,1,-45,2256
8182,88:36:6c:67:72:ec,carlynne,2399.9488,2399.978645481,1,-67,2256
8183,88:36:6c:67:72:ec,carlynne,2400.0512,2400.081107977,1,-69,2256
8184,88:36:6c:67:72:ec,carlynne,2400.4608,2400.490781656,1,-69,2256
8185,88:36:6c:67:72:ec,carlynne,2400.5632,2400.593108354,1,-71,2256
8186,88:36:6c:67:72:ec,carlynne,2400.6656,2400.695566676,1,-23,2256
8187,88:36:6c:67:72:ec,carlynne,2400.768,2400.7979948079997,1,-23,2256
8188,88:36:6c:67:72:ec,carlynne,2400.8704,2400.900384421,1,-23,2256
8189,88:36:6c:67:72:ec,carlynne,2401.0752,2401.105186536,1,-61,2256
8190,88:36:6c:67:72:ec,carlynne,2401.4848,2401.514789231,1,-23,2256
8191,88:36:6c:67:72:ec,carlynne,2401.5872,2401.617090069,1,-23,2256
8192,88:36:6c:67:72:ec,carlynne,2401.6896,2401.719460718,1,-65,2256
8193,88:36:6c:67:72:ec,carlynne,2401.792,2401.821869681,1,-65,2256
8194,88:36:6c:67:72:ec,carlynne,2401.8944,2401.924379732,1,-67,2256
8195,88:36:6c:67:72:ec,carlynne,2402.2016,2402.231591501,1,-25,2256
8196,88:36:6c:67:72:ec,carlynne,2402.6112,2402.641109149,1,-65,2256
8197,88:36:6c:67:72:ec,carlynne,2403.1232,2403.153210154,1,-69,2256
8198,88:36:6c:67:72:ec,carlynne,2403.4304,2403.460403835,1,-45,2256
8199,88:36:6c:67:72:ec,carlynne,2403.7376,2403.767612076,1,-69,2256
8200,88:36:6c:67:72:ec,carlynne,2404.1472,2404.177209674,1,-69,2256
8201,88:36:6c:67:72:ec,carlynne,2404.2496,2404.279501762,1,-69,2256
8202,88:36:6c:67:72:ec,carlynne,2404.352,2404.381900787,1,-23,2256
8203,88:36:6c:67:72:ec,carlynne,2404.4544,2404.48436161,1,-23,2256
8204,88:36:6c:67:72:ec,carlynne,2404.5568,2404.586812249,1,-23,2256
8205,88:36:6c:67:72:ec,carlynne,2405.1712,2405.201233275,1,-23,2256
8206,88:36:6c:67:72:ec,carlynne,2405.376,2405.405929525,1,-23,2256
8207,88:36:6c:67:72:ec,carlynne,2405.4784,2405.508362273,1,-63,2256
8208,88:36:6c:67:72:ec,carlynne,2405.5808,2405.610729144,1,-65,2256
8209,88:36:6c:67:72:ec,carlynne,2405.888,2405.917954018,1,-25,2256
8210,88:36:6c:67:72:ec,carlynne,2405.9904,2406.0204429,1,-67,2256
8211,88:36:6c:67:72:ec,carlynne,2406.0928,2406.1227292,1,-67,2256
8212,88:36:6c:67:72:ec,carlynne,2407.1168,2407.1467539729997,1,-47,2256
8213,88:36:6c:67:72:ec,carlynne,2407.2192,2407.249152131,1,-47,2256
8214,88:36:6c:67:72:ec,carlynne,2407.424,2407.454066846,1,-67,2256
8215,88:36:6c:67:72:ec,carlynne,2407.8336,2407.863596136,1,-69,2256
8216,88:36:6c:67:72:ec,carlynne,2407.936,2407.965951931,1,-69,2256
8217,88:36:6c:67:72:ec,carlynne,2408.1408,2408.1708062010002,1,-23,2256
8218,88:36:6c:67:72:ec,carlynne,2408.2432,2408.273262959,1,-23,2256
8219,88:36:6c:67:72:ec,carlynne,2409.0624,2409.092463087,1,-23,2256
8220,88:36:6c:67:72:ec,carlynne,2409.472,2409.50196343,1,-25,2256
8221,88:36:6c:67:72:ec,carlynne,2409.7792,2409.8092439929997,1,-67,2256
8222,88:36:6c:67:72:ec,carlynne,2409.984,2410.01402799,1,-65,2256
