,sa,timedifference,sequence no,length
39026,2c:33:7a:2b:79:3a,76166.226402582,949706,97
39030,2c:33:7a:2b:79:3a,76171.472777874,949724,97
39031,2c:33:7a:2b:79:3a,76171.585778705,949729,97
39032,2c:33:7a:2b:79:3a,76171.586984185,949730,97
39033,2c:33:7a:2b:79:3a,76171.587947361,949731,97
39034,2c:33:7a:2b:79:3a,76171.588985363,949732,97
39043,2c:33:7a:2b:79:3a,76184.885587788,949915,97
39044,2c:33:7a:2b:79:3a,76191.764685132,950017,97
39045,2c:33:7a:2b:79:3a,76191.765845397,950018,97
39046,2c:33:7a:2b:79:3a,76191.76675677301,950019,97
39048,2c:33:7a:2b:79:3a,76197.828080595,950080,97
